101.021,95.868,84.784,57.755,30.951,2.727
101.147,95.976,84.9,57.965,31.133,2.846
101.204,95.923,84.909,58.212,31.258,2.733
101.207,95.83,84.885,58.415,31.352,2.744
101.155,95.886,84.941,58.521,31.555,2.657
101.152,95.901,85.088,58.736,31.752,2.721
101.196,95.848,85.106,58.908,31.889,2.951
101.201,95.923,85.146,59.058,31.967,3.02
101.202,95.926,85.207,59.277,32.164,2.777
101.205,96.01,85.312,59.428,32.414,2.879
101.236,95.93,85.4,59.644,32.506,2.875
101.192,95.992,85.405,59.749,32.602,2.972
101.178,96.03,85.489,59.947,32.753,3.011
101.245,96.106,85.501,60.078,32.921,2.988
101.35,96.129,85.638,60.339,33.076,2.989
101.219,96.138,85.733,60.445,33.171,3.076
101.193,96.164,85.727,60.616,33.386,2.94
101.234,96.071,85.811,60.808,33.539,3.001
101.274,96.075,85.892,61.05,33.737,3.067
101.202,96.103,85.934,61.214,33.897,3.241
101.21,96.193,86.031,61.423,34.142,3.221
101.236,96.176,86.169,61.597,34.308,3.13
101.253,96.213,86.159,61.775,34.511,3.154
101.357,96.26,86.279,61.992,34.644,3.217
101.295,96.243,86.417,62.198,34.808,3.192
101.311,96.259,86.45,62.364,35.065,3.192
101.343,96.332,86.472,62.5,35.164,3.123
101.271,96.233,86.479,62.685,35.329,3.117
101.242,96.176,86.542,62.842,35.516,3.297
101.387,96.228,86.618,62.991,35.757,3.302
101.434,96.315,86.673,63.226,35.991,3.235
101.431,96.246,86.714,63.419,36.174,3.035
101.335,96.317,86.729,63.53,36.206,3.529
101.349,96.359,86.861,63.69,36.481,3.316
101.369,96.399,86.996,63.94,36.728,3.351
101.375,96.429,87.033,64.084,36.935,3.395
101.469,96.523,87.114,64.255,37.036,3.465
101.546,96.761,87.375,64.79,37.422,3.348
101.448,96.451,87.271,64.865,37.662,3.616
101.363,96.582,87.355,64.961,37.657,3.732
101.343,96.48,87.405,65.132,37.97,3.387
101.303,96.526,87.495,65.283,38.026,3.378
101.443,96.62,87.463,65.376,38.298,3.36
101.556,96.686,87.52,65.617,38.405,3.641
101.567,96.55,87.675,65.791,38.577,3.905
101.537,96.687,87.727,66.049,38.69,3.603
101.572,96.552,87.672,66.165,38.794,3.564
101.431,96.678,87.706,66.203,39.037,3.442
101.485,96.68,87.863,66.351,39.223,3.699
101.44,96.651,87.828,66.476,39.297,3.725
101.253,96.397,87.723,66.608,39.352,3.658
101.479,96.645,87.987,66.904,39.641,3.682
101.537,96.669,88.063,67.041,39.787,3.746
101.483,96.786,88.152,67.249,39.96,3.928
101.558,96.922,88.214,67.375,40.038,3.952
101.566,96.872,88.226,67.465,40.24,4.033
101.627,96.797,88.3,67.725,40.408,3.712
101.346,96.809,88.257,67.802,40.576,3.738
101.498,96.776,88.574,67.967,40.601,3.828
101.407,96.799,88.272,68.193,40.797,3.731
101.463,96.893,88.365,68.347,40.907,3.999
101.456,96.837,88.614,68.715,41.347,4.106
101.514,96.921,88.695,68.973,41.655,4.15
101.585,96.944,88.719,69.083,41.821,4.118
101.457,96.921,88.733,69.319,41.971,4.092
101.465,96.989,88.806,69.467,42.105,4.291
101.399,97.003,88.802,69.566,42.268,4.225
101.451,97.075,88.918,69.835,42.392,4.109
