99.915,95.734
99.91,95.764
99.913,95.802
99.918,95.836
99.93,95.874
99.939,95.917
99.937,95.947
99.944,95.973
99.953,96.013
99.944,96.039
99.947,96.069
99.933,96.085
99.956,96.118
99.954,96.149
99.953,96.17
99.945,96.193
99.939,96.202
99.933,96.219
99.931,96.239
99.925,96.255
99.915,96.262
99.899,96.262
99.907,96.278
99.893,96.284
99.883,96.297
99.873,96.292
99.863,96.291
99.86,96.303
99.86,96.318
99.84,96.315
99.837,96.33
99.837,96.342
99.832,96.358
99.818,96.361
99.82,96.378
99.812,96.391
99.799,96.397
99.797,96.407
99.802,96.428
99.794,96.44
99.794,96.457
99.789,96.465
99.811,96.501
99.791,96.515
99.799,96.538
99.796,96.536
99.788,96.561
99.796,96.59
99.8,96.606
99.791,96.616
99.782,96.632
99.791,96.654
99.796,96.687
99.797,96.698
99.794,96.707
99.799,96.736
99.8,96.756
99.811,96.779
99.8,96.797
99.796,96.814
99.802,96.841
99.806,96.855
99.794,96.86
99.8,96.893
99.8,96.909
99.797,96.928
99.803,96.953
99.812,96.974
99.805,96.988
99.811,97.009
99.805,97.021
99.811,97.041
99.803,97.055
99.806,97.083
99.818,97.104
99.818,97.124
99.817,97.141
99.82,97.153
99.826,97.174
99.818,97.189
99.817,97.202
99.825,97.227
99.82,97.237
99.823,97.256
99.835,97.287
99.832,97.305
99.835,97.318
99.838,97.34
99.828,97.35
99.831,97.368
99.835,97.388
99.841,97.404
99.84,97.427
99.847,97.449
99.855,97.479
99.866,97.495
99.867,97.51
99.87,97.53
99.875,97.542
99.875,97.562
99.876,97.575
99.883,97.594
99.879,97.603
99.876,97.612
99.872,97.627
99.875,97.638
99.87,97.647
99.875,97.668
99.873,97.682
99.872,97.696
99.87,97.704
99.864,97.708
99.867,97.719
99.857,97.725
99.854,97.739
99.863,97.757
99.869,97.771
99.855,97.769
99.867,97.795
99.861,97.803
99.867,97.816
99.872,97.836
99.87,97.852
99.861,97.864
99.866,97.881
99.866,97.882
99.87,97.897
99.869,97.914
99.87,97.923
99.872,97.937
99.876,97.951
99.876,97.969
99.886,97.98
99.872,97.986
99.873,97.998
99.886,98.018
99.881,98.038
99.869,98.041
99.879,98.053
99.881,98.067
99.884,98.082
99.883,98.091
99.887,98.103
99.896,98.117
99.889,98.117
99.892,98.143
99.896,98.154
99.89,98.16
99.898,98.175
99.884,98.178
99.883,98.192
