1.7_t,3.2_t,31.4_t
48.199,13.516,0.02
48.276,13.576,0.003
48.338,13.638,0.003
48.425,13.69,0.005
48.495,13.759,0
48.564,13.818,-0.012
48.642,13.878,-0.023
48.718,13.948,-0.002
48.798,14.012,0.005
48.88,14.079,0.008
48.943,14.145,0.005
49.022,14.212,0.002
49.106,14.284,0.011
49.191,14.345,0.017
49.269,14.418,0
49.361,14.487,-0.003
49.443,14.563,0.008
49.521,14.629,0.008
49.603,14.699,0.008
49.683,14.769,-0.018
49.762,14.845,-0.008
49.841,14.917,-0.011
49.933,14.989,0.002
50.023,15.065,-0.006
50.108,15.146,0.009
50.203,15.225,0.005
50.284,15.303,0
50.369,15.39,0.009
50.464,15.469,0.011
50.558,15.546,-0.002
50.661,15.634,0
50.754,15.727,0
50.853,15.808,0
50.946,15.9,-0.011
51.047,16,0.002
51.141,16.084,0
51.247,16.173,0.005
51.352,16.267,0.006
51.451,16.359,-0.003
51.556,16.455,0.014
51.64,16.539,0.006
51.744,16.634,0.002
51.831,16.714,-0.006
51.92,16.803,0
52.017,16.895,-0.002
52.112,16.983,0.003
52.208,17.07,-0.002
52.301,17.166,0.005
52.405,17.262,0
52.504,17.361,-0.009
52.605,17.451,-0.002
52.704,17.545,-0.002
52.802,17.647,0
52.904,17.749,0
53.014,17.851,-0.002
53.114,17.949,0
53.227,18.06,0.005
53.34,18.164,0.005
53.445,18.277,0.009
53.56,18.385,0.003
53.67,18.495,0
53.792,18.611,0.002
53.891,18.718,0.009
54.001,18.829,0.005
54.112,18.945,0.002
54.228,19.054,-0.002
54.349,19.177,-0.002
54.459,19.287,0.006
54.578,19.402,0.009
54.688,19.519,0.009
54.8,19.637,0.005
54.916,19.756,0
55.025,19.868,0.005
55.133,19.989,0.008
55.261,20.111,0.006
55.385,20.23,0.009
55.493,20.349,0.009
55.603,20.471,0
55.722,20.598,0.002
55.838,20.721,0.014
55.957,20.85,0.015
56.081,20.981,0.012
56.212,21.107,0.012
56.332,21.242,0
56.454,21.375,0.006
56.575,21.503,0.011
56.683,21.623,0.011
56.807,21.758,0.009
56.926,21.887,0.018
57.045,22.015,0.015
57.231,22.223,0.023
57.43,22.446,0.037
57.533,22.566,0.035
57.64,22.685,0.038
57.745,22.803,0.035
57.855,22.925,0.035
57.961,23.039,0.034
58.07,23.164,0.037
58.186,23.293,0.035
58.29,23.407,0.035
58.397,23.531,0.032
58.505,23.657,0.031
58.614,23.784,0.035
58.72,23.906,0.037
58.827,24.03,0.034
58.946,24.159,0.032
59.055,24.289,0.037
59.169,24.417,0.04
59.282,24.55,0.044
59.39,24.683,0.04
59.497,24.805,0.038
59.612,24.933,0.037
59.715,25.063,0.04
59.822,25.194,0.041
59.929,25.316,0.044
60.034,25.443,0.037
60.146,25.574,0.041
60.254,25.699,0.043
60.352,25.822,0.043
60.454,25.949,0.047
60.556,26.074,0.043
60.66,26.201,0.046
60.767,26.324,0.05
60.87,26.453,0.049
60.977,26.582,0.049
61.081,26.709,0.049
61.185,26.834,0.047
61.288,26.964,0.055
61.392,27.095,0.053
61.505,27.231,0.056
61.61,27.362,0.055
61.719,27.499,0.055
61.821,27.632,0.061
61.931,27.765,0.06
62.036,27.904,0.06
62.148,28.044,0.061
62.251,28.175,0.063
62.369,28.31,0.061
62.462,28.435,0.06
62.561,28.569,0.064
62.669,28.711,0.067
62.778,28.842,0.067
62.875,28.972,0.072
62.975,29.099,0.072
63.072,29.23,0.07
63.182,29.364,0.069
63.281,29.492,0.075
63.382,29.63,0.076
63.487,29.762,0.076
63.591,29.897,0.081
63.696,30.034,0.081
63.794,30.162,0.087
63.896,30.296,0.09
64.003,30.441,0.087
64.104,30.582,0.087
64.211,30.724,0.089
64.313,30.867,0.09
64.427,31.007,0.095
64.532,31.152,0.098
64.639,31.296,0.099
64.746,31.439,0.104
64.85,31.581,0.104
64.957,31.723,0.107
65.062,31.868,0.108
65.164,32.01,0.113
65.263,32.15,0.113
65.373,32.298,0.117
65.485,32.448,0.121
65.59,32.59,0.122
65.692,32.738,0.127
65.797,32.887,0.13
65.91,33.035,0.131
66.017,33.183,0.133
66.125,33.337,0.14
66.235,33.496,0.142
66.348,33.656,0.143
66.466,33.815,0.148
66.574,33.975,0.153
66.69,34.14,0.159
66.812,34.314,0.163
66.939,34.483,0.166
67.049,34.656,0.174
67.168,34.83,0.177
67.296,35.011,0.185
67.415,35.182,0.189
67.529,35.35,0.195
67.654,35.527,0.203
67.775,35.692,0.208
67.897,35.867,0.211
68.007,36.031,0.215
68.123,36.192,0.218
68.227,36.349,0.224
68.335,36.504,0.23
68.436,36.656,0.235
68.542,36.809,0.24
68.645,36.964,0.246
68.75,37.122,0.249
68.854,37.279,0.255
68.954,37.43,0.262
69.061,37.592,0.272
69.177,37.756,0.276
69.276,37.915,0.284
69.391,38.084,0.291
69.501,38.251,0.299
69.606,38.419,0.307
69.719,38.586,0.317
69.826,38.759,0.323
69.943,38.931,0.334
70.053,39.107,0.343
70.161,39.281,0.354
70.265,39.444,0.363
70.387,39.629,0.371
70.508,39.801,0.385
70.618,39.973,0.394
70.735,40.158,0.409
70.857,40.341,0.42
70.966,40.514,0.427
71.074,40.689,0.441
71.187,40.871,0.453
71.3,41.052,0.464
71.414,41.228,0.478
71.535,41.417,0.491
71.657,41.609,0.508
71.78,41.798,0.52
71.898,41.994,0.537
72.02,42.186,0.549
72.139,42.38,0.565
72.264,42.575,0.578
72.386,42.77,0.598
72.514,42.969,0.616
72.626,43.164,0.63
72.748,43.359,0.648
72.865,43.546,0.667
72.974,43.733,0.685
73.09,43.919,0.702
73.207,44.109,0.722
73.328,44.304,0.739
73.436,44.487,0.76
73.566,44.682,0.78
73.672,44.867,0.797
73.77,45.049,0.822
73.886,45.232,0.839
74.002,45.419,0.862
74.112,45.607,0.885
74.225,45.798,0.906
74.336,45.984,0.929
74.463,46.178,0.954
74.573,46.362,0.977
74.677,46.556,1.001
74.789,46.748,1.028
74.915,46.942,1.056
75.021,47.133,1.08
75.134,47.325,1.109
75.25,47.522,1.134
75.362,47.716,1.166
75.49,47.919,1.198
75.591,48.106,1.227
75.702,48.296,1.254
75.815,48.489,1.286
75.916,48.677,1.318
76.025,48.865,1.349
76.138,49.052,1.382
76.247,49.239,1.413
76.346,49.425,1.447
76.459,49.619,1.482
76.572,49.809,1.518
76.671,49.994,1.552
76.785,50.188,1.587
76.894,50.378,1.625
77.008,50.575,1.665
77.126,50.772,1.707
77.237,50.967,1.747
77.348,51.17,1.79
77.458,51.373,1.831
77.573,51.575,1.874
77.687,51.776,1.924
77.798,51.979,1.97
77.917,52.185,2.017
78.03,52.391,2.068
78.146,52.602,2.118
78.256,52.803,2.167
78.358,52.997,2.217
78.459,53.181,2.266
78.574,53.383,2.318
78.685,53.581,2.373
78.796,53.78,2.428
78.899,53.973,2.48
79.007,54.175,2.538
79.111,54.372,2.592
79.228,54.578,2.655
79.338,54.776,2.716
79.442,54.973,2.78
79.55,55.177,2.841
79.66,55.383,2.907
79.779,55.592,2.975
79.886,55.798,3.044
80.003,56.007,3.113
80.109,56.212,3.183
80.231,56.432,3.258
80.341,56.641,3.336
80.46,56.856,3.415
80.562,57.059,3.493
80.666,57.266,3.571
80.772,57.475,3.651
80.893,57.695,3.734
81.009,57.898,3.815
81.113,58.112,3.903
81.215,58.315,3.992
81.328,58.528,4.079
81.441,58.736,4.169
81.552,58.949,4.263
81.654,59.161,4.356
81.764,59.372,4.453
81.886,59.589,4.552
81.998,59.807,4.654
82.111,60.031,4.765
82.217,60.245,4.869
82.335,60.469,4.98
82.451,60.696,5.095
82.559,60.918,5.211
82.664,61.142,5.327
82.784,61.369,5.45
82.912,61.598,5.577
83.031,61.829,5.707
83.138,62.05,5.833
83.249,62.274,5.966
83.362,62.489,6.1
83.478,62.723,6.232
83.588,62.943,6.363
83.693,63.162,6.5
83.8,63.376,6.644
83.91,63.594,6.784
84.015,63.812,6.923
84.123,64.034,7.071
84.241,64.256,7.219
84.361,64.473,7.375
84.467,64.702,7.526
84.575,64.919,7.687
84.686,65.141,7.843
84.781,65.353,8.005
84.898,65.588,8.173
85.007,65.807,8.345
85.117,66.032,8.524
85.225,66.266,8.699
85.342,66.486,8.881
85.454,66.714,9.068
85.567,66.942,9.256
85.664,67.152,9.439
85.77,67.375,9.63
85.88,67.603,9.83
85.992,67.827,10.019
86.084,68.03,10.21
86.191,68.246,10.411
86.302,68.471,10.606
86.392,68.681,10.811
86.496,68.9,11.014
86.606,69.109,11.215
86.705,69.312,11.423
86.794,69.519,11.633
86.899,69.724,11.845
87.022,69.952,12.065
87.115,70.16,12.291
87.207,70.367,12.512
87.302,70.583,12.743
87.401,70.798,12.979
87.515,71.013,13.211
87.61,71.225,13.449
87.711,71.436,13.686
87.805,71.638,13.934
87.912,71.866,14.182
88.013,72.064,14.42
88.106,72.258,14.662
88.197,72.452,14.905
88.295,72.652,15.143
88.374,72.839,15.387
88.466,73.041,15.636
88.559,73.239,15.883
88.646,73.425,16.122
88.719,73.601,16.367
88.803,73.784,16.615
88.904,73.979,16.873
88.991,74.168,17.131
89.075,74.342,17.377
89.174,74.541,17.636
89.25,74.716,17.896
89.351,74.904,18.158
