0.8,1.7_t,3.2_t,31.4_t
99.869,98.839,97.128,84.071
99.875,98.862,97.2,84.389
99.876,98.891,97.263,84.703
99.886,98.924,97.322,85.022
99.875,98.943,97.382,85.329
99.876,98.953,97.433,85.619
99.875,98.973,97.484,85.918
99.881,99.001,97.543,86.227
99.895,99.026,97.607,86.543
99.893,99.049,97.664,86.847
99.883,99.063,97.713,87.134
99.896,99.095,97.777,87.447
99.91,99.13,97.849,87.75
99.911,99.146,97.902,88.051
99.919,99.179,97.957,88.362
99.908,99.188,98.009,88.657
99.916,99.205,98.061,88.966
99.918,99.232,98.125,89.296
99.928,99.269,98.196,89.616
99.934,99.294,98.253,89.931
99.933,99.307,98.302,90.239
99.925,99.321,98.351,90.553
99.933,99.352,98.413,90.869
99.959,99.39,98.492,91.187
99.95,99.396,98.531,91.47
99.933,99.388,98.563,91.762
99.951,99.442,98.643,92.09
99.956,99.474,98.708,92.39
99.957,99.486,98.741,92.671
99.954,99.484,98.788,92.96
99.968,99.509,98.833,93.245
99.98,99.55,98.909,93.567
99.988,99.579,98.972,93.869
99.973,99.574,98.991,94.136
99.947,99.574,99.025,94.411
99.94,99.594,99.086,94.696
99.957,99.631,99.149,95.018
99.989,99.663,99.222,95.328
100.009,99.704,99.297,95.648
100.006,99.718,99.347,95.95
100.011,99.731,99.379,96.228
99.988,99.736,99.416,96.509
99.989,99.759,99.472,96.805
99.985,99.762,99.506,97.09
99.977,99.759,99.519,97.345
99.983,99.786,99.588,97.655
99.991,99.817,99.641,97.94
99.974,99.823,99.681,98.215
99.974,99.852,99.724,98.497
99.989,99.866,99.771,98.782
99.973,99.875,99.812,99.054
99.983,99.913,99.864,99.355
99.985,99.942,99.928,99.652
100.003,99.974,100.003,99.902
