0.8,1.7_t,3.2_t,31.4_t
90.108,42.871,9.544,0.021
90.007,42.953,9.657,-0.034
90.089,43.025,9.709,-0.012
90.047,43.135,9.756,0.024
90.109,43.233,9.805,0.073
90.193,43.34,9.88,0.027
90.205,43.43,9.941,-0.037
90.237,43.506,10.002,0.027
90.199,43.62,10.075,0.021
90.256,43.735,10.146,0.047
90.265,43.823,10.207,0.003
90.305,43.93,10.286,0.002
90.324,43.993,10.342,-0.073
90.323,44.095,10.422,0.011
90.363,44.203,10.481,0.02
90.381,44.308,10.555,-0.047
90.448,44.402,10.609,0.035
90.488,44.493,10.681,0.009
90.469,44.591,10.757,0.035
90.527,44.695,10.822,0.029
90.54,44.781,10.878,-0.012
90.569,44.887,10.956,0.031
90.559,44.987,11.034,-0.006
90.623,45.078,11.099,-0.044
90.652,45.16,11.153,0.027
90.686,45.245,11.232,0.027
90.724,45.338,11.304,-0.015
90.736,45.445,11.354,0.027
90.762,45.541,11.417,0.031
90.811,45.604,11.47,-0.005
90.819,45.683,11.517,0.006
90.84,45.776,11.603,0.011
90.88,45.85,11.641,0.011
90.881,45.929,11.705,-0.027
90.941,46.033,11.771,-0.006
90.997,46.117,11.845,0.011
91,46.178,11.905,0.023
91.037,46.262,11.964,0.002
91.042,46.312,12.009,0.009
91.049,46.402,12.083,-0.006
91.069,46.481,12.132,-0.005
91.154,46.545,12.181,-0.003
91.165,46.622,12.242,0.006
91.153,46.701,12.3,-0.015
91.203,46.768,12.364,0.003
91.228,46.838,12.413,0.027
91.284,46.921,12.469,-0.015
91.318,47.011,12.526,-0.002
91.327,47.078,12.596,-0.014
91.342,47.145,12.65,0.018
91.356,47.212,12.714,-0.003
91.38,47.284,12.764,-0.003
91.418,47.346,12.827,-0.006
91.449,47.423,12.883,0.027
91.484,47.502,12.936,-0.003
91.492,47.569,13,0.027
91.521,47.638,13.046,0.005
91.544,47.708,13.109,0.011
91.586,47.777,13.173,-0.008
91.618,47.861,13.229,0.012
91.65,47.932,13.287,-0.005
91.655,47.992,13.344,-0.006
91.673,48.059,13.391,0.027
91.702,48.123,13.458,0.008
91.751,48.199,13.516,0.02
91.771,48.276,13.576,0.003
91.788,48.338,13.638,0.003
91.809,48.425,13.69,0.005
91.835,48.495,13.759,0.027
91.878,48.564,13.818,-0.012
91.896,48.642,13.878,-0.023
91.924,48.718,13.948,-0.002
91.96,48.798,14.012,0.005
91.985,48.88,14.079,0.008
91.986,48.943,14.145,0.005
92.021,49.022,14.212,0.002
92.047,49.106,14.284,0.011
92.067,49.191,14.345,0.017
92.108,49.269,14.418,0.027
92.134,49.361,14.487,-0.003
92.155,49.443,14.563,0.008
92.171,49.521,14.629,0.008
92.207,49.603,14.699,0.008
92.229,49.683,14.769,-0.018
92.256,49.762,14.845,-0.008
92.278,49.841,14.917,-0.011
92.303,49.933,14.989,0.002
92.322,50.023,15.065,-0.006
92.346,50.108,15.146,0.009
92.369,50.203,15.225,0.005
92.406,50.284,15.303,0.027
92.421,50.369,15.39,0.009
92.455,50.464,15.469,0.011
92.476,50.558,15.546,-0.002
92.505,50.661,15.634,0.027
92.529,50.754,15.727,0.027
92.542,50.853,15.808,0.027
92.583,50.946,15.9,-0.011
92.609,51.047,16,0.002
92.636,51.141,16.084,0.027
92.661,51.247,16.173,0.005
92.686,51.352,16.267,0.006
92.7,51.451,16.359,-0.003
92.738,51.556,16.455,0.014
92.772,51.64,16.539,0.006
92.798,51.744,16.634,0.002
92.816,51.831,16.714,-0.006
92.824,51.92,16.803,0.027
92.842,52.017,16.895,-0.002
92.867,52.112,16.983,0.003
92.897,52.208,17.07,-0.002
92.918,52.301,17.166,0.005
92.935,52.405,17.262,0.027
92.941,52.504,17.361,-0.009
92.975,52.605,17.451,-0.002
92.993,52.704,17.545,-0.002
93.016,52.802,17.647,0.027
93.024,52.904,17.749,0.027
93.065,53.014,17.851,-0.002
93.088,53.114,17.949,0.027
93.095,53.227,18.06,0.005
93.132,53.34,18.164,0.005
93.155,53.445,18.277,0.009
93.173,53.56,18.385,0.003
93.199,53.67,18.495,0.027
93.23,53.792,18.611,0.002
93.239,53.891,18.718,0.009
93.263,54.001,18.829,0.005
93.283,54.112,18.945,0.002
93.314,54.228,19.054,-0.002
93.333,54.349,19.177,-0.002
93.353,54.459,19.287,0.006
93.373,54.578,19.402,0.009
93.396,54.688,19.519,0.009
93.413,54.8,19.637,0.005
93.437,54.916,19.756,0.027
93.456,55.025,19.868,0.005
93.468,55.133,19.989,0.008
93.506,55.261,20.111,0.006
93.521,55.385,20.23,0.009
93.55,55.493,20.349,0.009
93.565,55.603,20.471,0.027
93.591,55.722,20.598,0.002
93.607,55.838,20.721,0.014
93.616,55.957,20.85,0.015
93.646,56.081,20.981,0.012
93.678,56.212,21.107,0.012
93.698,56.332,21.242,0.012
93.727,56.454,21.375,0.006
93.744,56.575,21.503,0.011
93.762,56.683,21.623,0.011
93.779,56.807,21.758,0.009
93.813,56.926,21.887,0.018
93.823,57.045,22.015,0.015
93.889,57.231,22.223,0.023
93.958,57.43,22.446,0.037
93.968,57.533,22.566,0.035
93.994,57.64,22.685,0.038
94.009,57.745,22.803,0.035
94.031,57.855,22.925,0.035
94.049,57.961,23.039,0.034
94.08,58.07,23.164,0.037
94.101,58.186,23.293,0.035
94.116,58.29,23.407,0.035
94.13,58.397,23.531,0.032
94.145,58.505,23.657,0.031
94.162,58.614,23.784,0.035
94.174,58.72,23.906,0.037
94.189,58.827,24.03,0.034
94.208,58.946,24.159,0.032
94.238,59.055,24.289,0.037
94.258,59.169,24.417,0.04
94.278,59.282,24.55,0.044
94.293,59.39,24.683,0.04
94.313,59.497,24.805,0.038
94.334,59.612,24.933,0.037
94.35,59.715,25.063,0.04
