82.242,21.32,17.712,0.099
82.471,21.869,18.246,-0.058
82.6,22.305,18.666,0.005
82.928,22.763,19.212,0.052
83.073,23.242,19.656,0.02
83.185,23.703,20.222,0.02
83.437,24.229,20.7,-0.003
84.035,25.523,22.008,0.011
84.442,26.445,23.068,0.044
84.624,26.93,23.662,0.099
84.784,27.368,24.118,0.099
85.046,27.895,24.666,0.07
85.172,28.326,25.188,0.096
85.31,28.844,25.7,0.11
85.587,29.277,26.21,0.114
85.777,29.768,26.697,0.127
85.814,30.147,27.213,0.172
85.982,30.626,27.692,0.166
86.072,31.076,28.194,0.14
86.171,31.558,28.705,0.194
86.308,31.981,29.181,0.145
86.383,32.381,29.7,0.182
86.545,32.848,30.183,0.186
86.627,33.305,30.705,0.182
86.763,33.763,31.206,0.217
86.836,34.2,31.657,0.186
86.937,34.65,32.138,0.209
87.003,35.051,32.591,0.226
87.164,35.44,33.076,0.229
87.294,35.86,33.514,0.264
87.419,36.272,33.968,0.287
87.506,36.665,34.428,0.282
87.553,37.067,34.851,0.285
87.617,37.459,35.335,0.291
87.762,37.869,35.747,0.31
87.843,38.249,36.18,0.33
87.955,38.618,36.606,0.357
88.014,38.977,36.992,0.375
88.109,39.336,37.413,0.354
88.234,39.732,37.834,0.391
88.342,40.076,38.231,0.414
88.429,40.411,38.632,0.409
88.469,40.8,39.05,0.421
88.57,41.185,39.449,0.462
88.657,41.518,39.841,0.488
88.76,41.869,40.251,0.514
88.863,42.227,40.636,0.536
88.943,42.599,41.052,0.565
89.038,42.949,41.451,0.58
89.12,43.28,41.829,0.604
89.188,43.642,42.218,0.61
89.268,43.974,42.621,0.638
89.355,44.327,42.996,0.682
89.439,44.656,43.381,0.714
89.493,44.992,43.732,0.737
89.566,45.338,44.115,0.78
89.638,45.631,44.469,0.813
89.713,45.95,44.812,0.83
89.789,46.306,45.222,0.897
89.879,46.696,45.645,0.94
89.915,47.012,46.005,0.97
90.024,47.339,46.361,1.01
90.08,47.632,46.701,1.024
90.149,47.96,47.041,1.083
90.202,48.257,47.395,1.138
90.295,48.584,47.751,1.19
90.356,48.889,48.079,1.23
90.401,49.199,48.436,1.28
90.506,49.516,48.792,1.326
90.552,49.812,49.139,1.375
90.643,50.133,49.493,1.436
90.707,50.427,49.817,1.495
90.746,50.745,50.177,1.549
90.794,51.031,50.505,1.611
90.862,51.326,50.838,1.675
90.93,51.639,51.169,1.73
90.997,51.935,51.497,1.791
91.066,52.24,51.817,1.854
91.129,52.525,52.139,1.929
91.167,52.798,52.451,2.007
91.229,53.082,52.776,2.069
91.29,53.358,53.075,2.145
91.348,53.63,53.377,2.213
91.42,53.909,53.679,2.287
91.472,54.178,53.976,2.365
91.508,54.428,54.277,2.438
91.534,54.683,54.558,2.522
91.615,54.948,54.839,2.599
91.679,55.215,55.148,2.687
91.734,55.463,55.431,2.765
91.786,55.722,55.705,2.852
91.852,55.989,55.998,2.939
91.891,56.244,56.274,3.038
91.949,56.491,56.557,3.131
91.983,56.754,56.831,3.22
92.047,57.014,57.126,3.329
92.091,57.277,57.414,3.421
92.149,57.544,57.698,3.526
92.195,57.767,57.956,3.63
92.238,58.028,58.243,3.738
92.287,58.284,58.521,3.844
92.342,58.527,58.778,3.954
92.41,58.771,59.055,4.06
92.458,58.997,59.315,4.179
92.494,59.241,59.567,4.295
92.525,59.467,59.827,4.407
92.581,59.703,60.098,4.524
