1,2,3,4
90.79,81.366,70.5,16.919
90.947,81.602,70.695,17.241
90.955,81.749,70.941,17.595
91.052,81.976,71.141,17.918
91.138,82.103,71.339,18.259
91.246,82.338,71.48,18.605
91.316,82.51,71.733,18.956
91.396,82.616,71.941,19.302
91.438,82.785,72.096,19.627
91.498,82.928,72.276,19.984
91.6,83.107,72.479,20.314
91.69,83.301,72.684,20.65
91.737,83.42,72.855,21.01
91.798,83.557,73.03,21.341
91.885,83.734,73.233,21.695
91.936,83.852,73.398,22.047
92.058,84.032,73.602,22.391
92.105,84.227,73.781,22.743
92.184,84.352,73.972,23.082
92.245,84.474,74.104,23.43
92.334,84.631,74.306,23.761
92.371,84.746,74.443,24.133
92.403,84.866,74.628,24.455
92.482,85.007,74.763,24.794
92.575,85.159,74.988,25.153
92.65,85.268,75.133,25.494
92.661,85.382,75.264,25.821
92.697,85.521,75.446,26.205
92.813,85.699,75.635,26.605
92.863,85.802,75.804,26.949
92.935,85.912,75.963,27.272
92.949,86.047,76.105,27.614
93.045,86.183,76.266,27.956
93.088,86.258,76.404,28.287
93.14,86.383,76.547,28.629
93.166,86.51,76.703,28.967
93.23,86.629,76.866,29.311
93.307,86.742,77.02,29.655
93.355,86.85,77.185,29.985
93.396,86.967,77.312,30.333
93.454,87.073,77.464,30.688
93.507,87.177,77.591,31.047
93.575,87.286,77.774,31.375
93.608,87.389,77.907,31.728
93.665,87.509,78.055,32.069
93.701,87.622,78.194,32.405
93.768,87.717,78.331,32.748
93.816,87.811,78.487,33.08
93.86,87.917,78.619,33.405
93.9,88.026,78.751,33.725
93.947,88.097,78.865,34.055
94.009,88.206,79.021,34.383
94.064,88.304,79.147,34.697
94.102,88.388,79.294,35.019
94.141,88.478,79.419,35.333
94.159,88.562,79.53,35.645
94.194,88.641,79.645,35.933
94.264,88.75,79.778,36.263
94.295,88.808,79.883,36.577
94.327,88.878,80.005,36.879
94.386,88.992,80.133,37.192
94.424,89.088,80.266,37.514
94.484,89.183,80.4,37.831
94.496,89.224,80.496,38.133
94.539,89.317,80.621,38.463
94.588,89.415,80.739,38.782
94.635,89.502,80.861,39.105
